ID,timestamp,price_now,cum_change_type,01change_type,p_change_day0_to_day1,p_change_day1_to_day2,p_change_day2_to_day3,p_change_day3_to_day4,p_change_day4_to_day5,p_change_day5_to_day6,p_change_day6_to_day7,p_change_day7_to_day8,p_change_day8_to_day9,p_change_day9_to_day10,p_change_day10_to_day11,p_change_day11_to_day12,p_change_day12_to_day13,p_change_day13_to_day14,p_change_day14_to_day15,p_change_day15_to_day16,p_change_day16_to_day17,p_change_day17_to_day18,p_change_day18_to_day19,p_change_day19_to_day20,p_change_day20_to_day21,p_change_day21_to_day22,p_change_day22_to_day23,p_change_day23_to_day24,p_change_day24_to_day25,p_change_day25_to_day26,p_change_day26_to_day27,p_change_day27_to_day28,p_change_day28_to_day29
573,1462924800000,2538,U,U,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789,-1.52439,-1.27916,-2.60169,-1.72848,-1.87279,-2.41379,-2.12622
573,1463011200000,2545,U,U,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789,-1.52439,-1.27916,-2.60169,-1.72848,-1.87279,-2.41379
573,1463097600000,2545,U,S,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789,-1.52439,-1.27916,-2.60169,-1.72848,-1.87279
573,1463184000000,2556,U,U,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789,-1.52439,-1.27916,-2.60169,-1.72848
573,1463270400000,2610,U,U,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789,-1.52439,-1.27916,-2.60169
573,1463356800000,2691,U,U,3.10345,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789,-1.52439,-1.27916
573,1463443200000,2694,U,U,0.11148,3.10345,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789,-1.52439
573,1463529600000,2701,U,U,0.25984,0.11148,3.10345,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977,-0.65789
573,1463616000000,2706,U,U,0.18512,0.25984,0.11148,3.10345,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376,-3.73977
573,1463702400000,2701,U,D,-0.18477,0.18512,0.25984,0.11148,3.10345,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237,0.32376
573,1463788800000,2707,U,U,0.22214,-0.18477,0.18512,0.25984,0.11148,3.10345,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822,-0.28237
573,1463875200000,2721,U,U,0.51718,0.22214,-0.18477,0.18512,0.25984,0.11148,3.10345,2.11268,0.43222,0,0.27581,1.52,2.71159,-1.45749,-0.72347,-3.60325,-3.72995,-1.57856,-0.0367,1.41422,0.4486,0.41291,3.01624,4.02253,-1.46651,-2.05745,1.81818,0.357,1.9822
